[31-Jul-2016 20:25:33 UTC] PHP Warning:  require(/home/ubuntu/workspace/blog/bootstrap/../vendor/autoload.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/blog/bootstrap/autoload.php on line 17
[31-Jul-2016 20:25:33 UTC] PHP Stack trace:
[31-Jul-2016 20:25:33 UTC] PHP   1. {main}() /home/ubuntu/workspace/blog/public/index.php:0
[31-Jul-2016 20:25:33 UTC] PHP   2. require() /home/ubuntu/workspace/blog/public/index.php:22
[31-Jul-2016 20:25:33 UTC] PHP Fatal error:  require(): Failed opening required '/home/ubuntu/workspace/blog/bootstrap/../vendor/autoload.php' (include_path='.:/usr/share/php:/usr/share/pear') in /home/ubuntu/workspace/blog/bootstrap/autoload.php on line 17
[31-Jul-2016 20:25:33 UTC] PHP Stack trace:
[31-Jul-2016 20:25:33 UTC] PHP   1. {main}() /home/ubuntu/workspace/blog/public/index.php:0
[31-Jul-2016 20:25:33 UTC] PHP   2. require() /home/ubuntu/workspace/blog/public/index.php:22
[31-Jul-2016 21:27:03 UTC] PHP Fatal error:  Class 'Task' not found in /home/ubuntu/workspace/blog/app/Http/routes.php on line 15
[31-Jul-2016 21:27:03 UTC] PHP Stack trace:
[31-Jul-2016 21:27:03 UTC] PHP   1. {main}() /home/ubuntu/workspace/blog/public/index.php:0
[31-Jul-2016 21:27:03 UTC] PHP   2. Illuminate\Foundation\Http\Kernel->handle() /home/ubuntu/workspace/blog/public/index.php:54
[31-Jul-2016 21:27:03 UTC] PHP   3. Illuminate\Foundation\Http\Kernel->sendRequestThroughRouter() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:99
[31-Jul-2016 21:27:03 UTC] PHP   4. Illuminate\Pipeline\Pipeline->then() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:132
[31-Jul-2016 21:27:03 UTC] PHP   5. call_user_func:{/home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103}() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[31-Jul-2016 21:27:03 UTC] PHP   6. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure}() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[31-Jul-2016 21:27:03 UTC] PHP   7. call_user_func:{/home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32}() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32
[31-Jul-2016 21:27:03 UTC] PHP   8. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32
